#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01 〔四阿鋡暮抄〕－【宮】
[040426]26 去＝法【聖】
<040401>＊ 腦＝[月*忽]【聖】
[040427]27 田＋（者）【三】【宮】【聖】
[040428]28 熟＝就【聖】
[040429]29 〔是〕－【三】【宮】
[040430]30 敗壞＝壞敗【石】
[040431]31 瘀＝淤【石】
[040432]32 〔尿〕－【聖】
[040433]33 厭＋（厭）【聖】
[040434]34 蠱＝冶【元】【明】【宮】
<040402>＊ 惑＝或【石】
[040435]35 〔著〕－【聖】
[040436]36 為＝等【聖】
[040437]37 烏＝鳥【三】【宮】
[040501]01 雨＝兩【明】
[040502]02 浸＝沒【聖】
[040503]03 〔此樂〕－【石】
[040504]04 （除）＋苦【石】
[040505]05 食＝飯【宋】【宮】【聖】
[040506]06 奪＝集【聖】
<040501>＊ 惑＝或【石】
[040507]07 地＝他【元】【明】【聖】，諦【宮】
[040508]08 羞＝[差-工+目]【聖】
[040509]09 〔諸〕－【三】【宮】【聖】
[040510]10 住＝甚【石】
<040502>＊ 攢＝鑽【三】【宮】
[040511]11 並＝方【宮】
[040512]12 信＝住【宮】
[040513]13 〔是〕－【元】【明】【石】
[040514]14 差＝瘥【三】【宮】＊
<040503>＊ 差＝瘥【三】【宮】
[040515]15 增＝僧【聖】
[040516]16 停＝亭【聖】
[040517]17 兩＝雨【聖】【石】
[040518]18 至頂＝法至頂法【石】
[040519]19 墮＝隨【聖】【石】
[040520]20 〔即〕－【三】【宮】【聖】【石】
[040521]21 〔品〕－【宋】【宮】【聖】
[040522]22 〔足〕－【聖】【石】
[040523]23 〔與〕－【石】
[040524]24 〔名〕－【聖】
[040525]25 是＋（是）【聖】
[040526]26 （七）＋覺【三】【宮】
[040527]27 此＝是【三】【宮】【聖】
[040528]28 經＝言【聖】
[040529]29 〔空〕－【宋】【宮】
[040601]01 著＝者【聖】
[040602]02 〔不供〕－【三】【宮】【聖】
<040601>＊ 復★
[040603]03 人＋（身）【三】【宮】
[040604]04 〔歲久〕－【三】【宮】
[040605]05 共＋（共）【聖】
[040606]06 〔法如是〕－【聖】
[040607]07 （觀）＋內身【石】
[040608]08 〔身〕－【聖】
[040609]09 〔法〕－【聖】
[040610]10 欲＋（故）【聖】
[040611]11 未＝已【聖】
[040612]12 為＝名【石】
[040613]13 〔願〕－【三】【宮】
[040614]14 （是分）＋是【聖】
[040615]15 怒＝恚【石】
[040616]16 〔分別知無〕－【三】【宮】【聖】
[040617]17 〔無〕－【石】
[040618]18 名＝為【石】
[040619]19 〔知〕－【宮】【聖】
[040620]20 知＝智【宮】
[040621]21 〔若〕－【石】
[040622]22 覺＝學【石】
[040623]23 名＝何【聖】
[040624]24 間＋（禪）【元】【明】【石】
[040625]25 （須菩提）＋是【石】
[040626]26 滅＝善【三】【宮】【聖】
[040627]27 念死＋（以不可得故）【宋】【宮】【聖】
[040628]28 〔以不可得故〕－【宋】【宮】【聖】
[040701]01 （知）＋是【石】
[040702]02 〔也〕－【聖】
[040703]03 （下）＋相【聖】
[040704]04 有＝因【聖】
[040705]05 緣＝後【宋】【宮】，緣＋（後）【聖】【石】
[040706]06 初＝劫【聖】
[040707]07 姓名＝名姓【石】
[040708]08 天＝人【宮】
[040709]09 正＝政【石】
[040710]10 〔若〕－【石】
[040711]11 〔業〕－【宮】【聖】
[040712]12 〔毀〕－【三】【聖】【聖】
[040713]13 〔業〕－【宋】【宮】
[040714]14 就壞＝壞死【三】【宮】【聖】【石】
[040715]15 〔名〕－【石】
[040716]16 相＝根【聖】＊
[040717]17 轉梵＝梵轉【聖】
[040718]18 輪＝論【聖】
[040719]19 安＋（隱）【三】【宮】
[040720]20 〔義無…盡〕三十七字－【三】【宮】
[040721]21 〔言〕－【聖】
[040722]22 〔已〕－【宋】【宮】【聖】
[040723]23 門＋（一劫）【石】
[040724]24 邏＝羅【聖】
[040725]25 枝＝支【元】【明】
[040726]26 〔緣〕－【三】【宮】【聖】
[040727]27 入＝八【聖】
[040728]28 婆＝娑【三】【宮】【聖】【石】
[040729]29 來＝未【元】【明】，〔來〕－【石】
[040730]30 磨＝摩【三】，魔【宮】
[040731]31 他＝[口*他]【元】【明】＊
[040732]32 簸＝[其*皮]【宋】【宮】【聖】下同
[040733]33 叉＝又【聖】
[040801]01 拖＝施【宮】【聖】【石】＊
<040801>＊ 拖＝施【宮】【聖】【石】
[040802]02 蹉＝嗟【石】＊
<040802>＊ 蹉＝嗟【石】
[040803]03 厚＝後【石】
[040804]04 [口*他]＝他【三】【宮】【聖】【石】
[040805]05 邊＝遍【宋】【宮】【聖】
[040806]06 [口*宅]＝吒【聖】
[040807]07 軀＝驅【三】【宮】
[040808]08 竟＝境【石】
[040809]09 〔不可得〕－【三】【宮】【聖】
[040810]10 〔故〕－【三】【宮】【聖】
[040811]11 得＝說【三】【宮】
[040812]12 〔不〕－【宋】【宮】【聖】
[040813]13 〔亦〕－【宋】【宮】
[040814]14 書＝盡【石】
[040815]15 （得）＋是【石】
[040816]16 聞＝門【聖】
[040817]17 諸＋（餘）【三】【宮】
[040818]18 〔得〕－【三】【宮】【聖】
[040819]19 非＋（是）【石】
[040820]20 羅＝鄰【宋】【宮】
[040821]21 門＋（字門）【三】【宮】【聖】【石】
[040822]22 摩訶衍＋（以不可得故）【元】【明】
<040803>＊ 〔論〕－【宋】【宮】【聖】
[040823]23 想＝相【聖】
[040824]24 說＝語【三】【宮】【聖】【石】
[040825]25 語＋（法）【元】【明】
[040826]26 來＝未【聖】
[040827]27 木＝末【三】【宮】【聖】【石】
[040828]28 邏＝還【聖】
[040829]29 邏＝還【聖】，羅【石】
<040804>＊ 相＝根【聖】
[040830]30 不＝無【三】【宮】
[040831]31 他＝陀【石】
[040832]32 反＝切【明】＊
[040833]33 吒＝[口*宅]【三】【宮】
[040834]34 羅＝邏【三】【宮】
[040835]35 薩＝婆【宋】【宮】，娑【元】【明】【聖】【石】
[040836]36 摩＝磨【三】【宮】，魔【石】
[040837]37 魔＝磨磨【三】【宮】【聖】
[040838]38 陀＝他【三】【宮】【聖】【石】
[040839]39 陀阿＝他何【聖】，他阿【石】
[040840]40 音＝字【宮】
[040841]41 〔老〕－【宮】
[040842]42 簸＝波【三】【宮】【聖】【石】
[040843]43 摩＝魔【石】
<040805>＊ 反＝切【明】
[040844]44 〔伽〕－【宋】【宮】【聖】【石】
[040845]45 諸＝語【聖】
[040846]46 〔不可〕－【三】【宮】【聖】
[040847]47 阿＝何【三】【聖】
[040848]48 阿他＝阿利他【元】【明】
[040849]49 婆＝波【聖】
[040850]50 可＋（得）【三】【宮】
[040851]51 [小/(小*小)]＝麼【三】【宮】下同
[040901]01 火夜＝火婆夜【明】
[040902]02 蹉＝嗟【石】
[040903]03 蹉＝嗟【聖】【石】
<040901>＊ 他＝[口*他]【元】【明】
[040904]04 上＝土【三】【宮】【聖】【石】
<040902>＊ 反＝切【明】
<040903>＊ 他＝[口*他]【元】【明】
[040905]05 〔法〕－【三】【宮】【聖】
[040906]06 吒＝多【宋】【宮】【聖】【石】
[040907]07 此＝動【石】
[040908]08 吒＝多【三】【宮】【聖】【石】
[040909]09 茶＝荼【三】【宮】【聖】【石】下同
[040910]10 〔更〕－【三】【宮】【聖】
[040911]11 派＝流【聖】
[040912]12 〔相〕－【宮】
[040913]13 而＝何【聖】，〔而〕－【石】
[040914]14 字字＝子【聖】
[040915]15 〔故〕－【宮】【聖】
[040916]16 破＝析【三】【宮】，拆【聖】【石】
[040917]17 喜＝善【聖】
[040918]18 諸＝說【宮】
<040904>＊ 呰＝訾【聖】
[040919]19 瞋＝息【聖】
[040920]20 （諸）＋眾生【聖】
[040921]21 語＝諸【聖】
[040922]22 鞞＝毘【石】，鞞＋（鞞）【宮】
[040923]23 〔品〕－【三】【宮】【聖】
[040924]24 七＝九【石】
[040925]25 月＝日【石】＊
<040905>＊ 月＝日【石】
[040926]26 生＝至【明】
[040927]27 〔日〕－【三】【宮】【聖】
[040928]28 （經）＋論【聖】
[040929]29 四十八＝十五【石】
[040930]30 〔釋第十九品〕－【宮】
[040931]31 十九品＝十八品【聖】，八品竟【石】
[040932]32 （（大智…九））十五字＝（（大智度經論卷第四十九釋第十九品上））十六字【聖】，（（摩訶般若波羅蜜品第十九發趣品卷五十一））十八字【石】
[040933]33 十＋（品）【宮】
<040906>＊ 〔龍樹菩薩造〕－【聖】【石】
<040907>＊ （（後秦…譯））十二字＝（（姚秦三藏法師鳩摩羅什譯））十一字【三】【宮】
[040934]34 〔經〕－【宋】【宮】【聖】＊
[041001]01 〔地〕－【聖】
[041002]02 是不可＝用無所【石】
[041003]03 不可＝以無所【石】
[041004]04 布施＝捨心【三】【宮】【聖】
[041005]05 〔親〕－【宋】【宮】【聖】
[041006]06 破＋（於）【石】
[041007]07 （第）＋二【石】＊
[041008]08 忍辱＋（力）【三】【宮】【石】
<041001>＊ （第）＋二【石】
[041009]09 莊嚴＝淨【石】
[041010]10 受＝愛【聖】
[041011]11 （第）＋三【石】
[041012]12 〔三者〕－【宋】【宮】
[041013]13 四＝三【宋】【宮】
[041014]14 五＝四【宋】【宮】
[041015]15 戒＋（不取戒相）【三】【宮】
[041016]16 六＝五【宋】【宮】
[041017]17 惡＝汙【宋】【元】【宮】
[041018]18 七＝六【宋】【宮】
[041019]19 八＝七【宋】【宮】
[041020]20 九＝八【宋】【宮】
[041021]21 沒＋（九者不生二識處）【宋】【宮】
[041022]22 是名＝是為【宋】【宮】，名【聖】
[041023]23 處＝說【宋】【明】【宮】
[041024]24 為＝名【元】【明】
[041025]25 （第）＋五【石】
[041026]26 （第）＋六【石】
[041027]27 具足慈悲智＝慈悲智具足【石】
[041028]28 是＝見【聖】
[041029]29 亦＋（復）【石】
[041030]30 法忍＝忍法【三】【宮】【聖】
[041031]31 （第）＋七【石】
[041032]32 觀＝見【石】
[041033]33 〔名〕－【宋】【宮】【聖】
[041034]34 世界＝國土【石】＊
[041035]35 （第）＋八【石】
[041036]36 是＝所【石】
[041037]37 犍＝揵【三】【宮】
[041038]38 家＝生【三】【宮】
[041039]39 所生＝家【三】【宮】
[041040]40 （第）＋九【石】
[041041]41 諸善＝一切善業【石】
[041101]01 出家無能障＝家【聖】
[041102]02 佛現在＝現在佛【三】【宮】【聖】
[041103]03 純具＝具滿【宮】
[041104]04 妒＝始【聖】，姤【石】
[041105]05 優婆＝優波【三】【宮】【聖】，憂波【石】
[041106]06 家＝處【石】
[041107]07 名＋（菩薩）【三】【宮】
[041108]08 隨說＝如所【三】【宮】【聖】
[041109]09 住初＝初住【宋】【宮】【聖】
[041110]10 （應）＋修行【石】
[041111]11 論釋曰＝論者言【宋】【宮】【聖】，論論者言【元】【明】
[041112]12 上又＝又上【石】
[041113]13 曜＝耀【石】
[041114]14 根＝相【三】【宮】
[041115]15 經＝論【三】【宮】
[041116]16 〔世〕－【聖】
[041117]17 （淨）＋樂【聖】
[041118]18 〔世世〕－【聖】
[041119]19 因＝恩【聖】
[041120]20 集＝聚【石】
[041121]21 福＝功【石】
[041122]22 純＝淳【三】【宮】【聖】【石】＊
[041123]23 〔迦〕－【聖】
[041124]24 娶＝聚【聖】
[041125]25 愛樂＝樂愛【宋】【宮】
[041126]26 婇＝綵【聖】
[041127]27 狀＝拔【石】
[041128]28 屐＝履【聖】
[041129]29 渡＝度【聖】
[041130]30 崙＝淪【聖】
<041101>＊ 純＝淳【三】【宮】【聖】【石】
[041131]31 未＝來【聖】
[041132]32 愛＝受【聖】
[041133]33 沒＝復【聖】
[041134]34 是念＝念【三】【宮】，是語【石】
[041135]35 二＝方【聖】
[041136]36 婆＝波【聖】
[041137]37 〔心〕－【三】【宮】【聖】【石】
[041138]38 受＝愛【三】
[041139]39 財＝則【聖】
[041140]40 作＝行【聖】
[041201]01 尼＝泥【宮】，尸【聖】
[041202]02 誦讀＝讀誦【元】【明】
[041203]03 文＝牟【聖】＊
[041204]04 墨＝默【石】
[041205]05 踊＝涌【三】【宮】
<041201>＊ 文＝牟【聖】
[041206]06 墮＝隨【聖】＊
[041207]07 持清淨＝清淨持【石】
[041208]08 〔悲〕－【聖】
[041209]09 世＋（世）【石】
[041210]10 受眾＝眾受【宋】【宮】
[041211]11 說＝脫【石】
[041212]12 眾＋（生）【石】
[041213]13 疑＋（惑）【聖】【石】
[041214]14 學＝與【聖】
[041215]15 說隨＝實修【石】
[041216]16 〔有〕－【聖】
[041217]17 故＝語【石】
[041218]18 （能）＋有【三】【宮】【石】
<041202>＊ 〔經〕－【宋】【宮】【聖】
[041219]19 尚＝常【石】
[041301]01 〔為〕－【石】
[041302]02 何＋（云）【石】
[041303]03 法若＝若法【聖】
[041304]04 〔此〕－【宮】【聖】【石】
[041305]05 名＝為【石】
[041306]06 有所＝所有【石】
<041301>＊ 世界＝國土【石】
<041302>＊ 世界＝國土【石】
[041307]07 名＋（能）【石】
<041303>＊ 世界＝國土【石】
[041308]08 界＝國土【石】
[041309]09 〔阿〕－【聖】
[041310]10 〔惡〕－【石】
[041311]11 為＝名【石】
[041312]12 界＝國【石】＊
<041304>＊ 界＝國【石】
[041313]13 談處＝談說【元】【明】下同
[041314]14 是＋（是）【聖】
[041315]15 〔處〕－【石】
[041316]16 非＝悲【聖】
[041317]17 言＝信【宋】【宮】
[041318]18 信＝住【聖】
[041319]19 六＝云【聖】
<041305>＊ 〔論〕－【宋】【宮】【聖】
[041320]20 （論）＋者【元】【明】，者＝釋【石】
[041321]21 〔有〕－【聖】
[041322]22 我＋（當）【三】【宮】
<041306>＊ 墮＝隨【聖】
[041323]23 愛敬＝敬愛【石】
[041324]24 惑＝或【石】
[041325]25 飢＝饑【明】
[041326]26 〔窟〕－【聖】【石】
[041327]27 熊＝羆【石】下同
[041401]01 （常）＋多【石】
[041402]02 今＝合【聖】
[041403]03 肘＝時【聖】
[041404]04 看＝有【聖】
[041405]05 〔得〕－【三】【宮】
[041406]06 〔以〕－【聖】
[041407]07 之＝人【元】【明】
[041408]08 惱＝憶【聖】
[041409]09 是＝見【聖】
[041410]10 （清）＋淨【石】
[041411]11 集＝習【三】【宮】
[041412]12 〔作〕－【聖】
[041413]13 代不疑＝不疑怠【石】
[041414]14 諮＝資【聖】
[041415]15 〔恭〕－【宋】【宮】
[041416]16 綆＝[革*更]【聖】
<041401>＊ 墮＝隨【聖】
[041417]17 〔水〕－【三】【宮】【聖】
[041418]18 茂＝茷【聖】＊
[041419]19 況＋（於）【石】
[041420]20 諸＝說【聖】
[041421]21 〔順〕－【石】
[041422]22 弊＝敝【聖】＊
<041402>＊ 弊＝敝【聖】
[041423]23 空＋（空）【聖】
[041501]01 〔道〕－【三】【宮】【聖】
[041502]02 軟＝濡【聖】【石】
[041503]03 得清淨＝清淨【三】【宮】，得淨【聖】
[041504]04 故＋（故）【聖】
[041505]05 〔十〕－【聖】
<041501>＊ 茂＝茷【聖】
[041506]06 在＝布【聖】
[041507]07 故＝足【石】
[041508]08 瘡＝創【石】
[041509]09 藥＝醫【石】
<041502>＊ 世界＝國土【石】
[041510]10 〔勝〕－【聖】
[041511]11 宮＝官【聖】
[041512]12 [飢-几+善]＝饌【聖】
[041513]13 呼＝啋【聖】
[041514]14 〔一〕－【聖】
[041515]15 飲＝飯【聖】
[041516]16 是＝則【明】
[041517]17 〔法〕－【三】【宮】【聖】
[041518]18 忍法＝法忍【宮】【石】
[041519]19 大＝夭【明】
[041520]20 汙穢＝穢惡【明】
[041521]21 相＝想【三】【宮】
[041522]22 不沒心＝心不沒【明】
[041523]23 眼＋（中）【三】【宮】
[041524]24 於＝淤【石】
[041525]25 （往）＋至【三】【宮】
[041526]26 著＝者【聖】
<041503>＊ 墮＝隨【聖】
[041527]27 與＋（與）【聖】
[041528]28 〔無益於福〕－【石】
[041529]29 〔為〕－【石】
[041530]30 斫＝破【聖】
[041531]31 〔心〕－【三】【宮】【聖】【石】
[041601]01 淨我＝我淨【三】【宮】
[041602]02 〔故〕－【三】【宮】【聖】【石】
[041603]03 故＝說【聖】
[041604]04 闕＝[門@報]【聖】
[041605]05 （（大智…九））八字＝（（大智度經論卷第四十九釋第十九品上）十六字【聖】
[041606]06 四十九＝五十一【石】
[041607]07 （（大智…十））十六字＝（（大智度論卷第五十，第二十發趣品之餘））十六字【宋】【元】，（（大智度論卷第五十，第二十品中十地釋論））十七字【宮】，（（大智度經論卷第五十，釋第十九品下，訖第二十品））二十字【聖】，（（摩訶般若波羅第十九品餘卷五十二））十五字【石】
<041601>＊ 〔龍樹菩薩造〕－【聖】【石】
<041602>＊ 後秦龜茲國三藏＝姚秦三藏法師【三】【宮】，〔後秦…譯〕十二字－【石】
[041608]08 〔經〕－【宋】【宮】【聖】＊
[041609]09 不著十八界∞不著十二入【石】
[041610]10 不著十八界∞不著十二入【石】
[041611]11 〔佛〕－【三】【宮】【聖】
[041612]12 世界＝國土【石】下同
[041613]13 作故＝作故忍【宋】【宮】【聖】【石】，作忍故【元】【明】
[041614]14 （一）＋心【元】【明】【石】
[041615]15 行＝作【石】
[041616]16 想＝相【石】
[041617]17 想＝相【聖】
[041618]18 〔故〕－【宋】【宮】【聖】
[041619]19 （慧地）＋調意【元】【明】
[041620]20 〔一〕－【宮】
[041621]21 國＝界【三】【宮】【聖】下同
[041622]22 〔云何菩薩〕－【聖】
[041623]23 四＝五【元】【明】【聖】【石】
[041624]24 而＝所【三】【宮】
[041625]25 無邊＋（身）【宋】【宮】
<041603>＊ 世界＝國土【石】
[041701]01 犍闥婆＝揵闥婆【三】【宮】，揵闥波【聖】下同
[041702]02 諸＝語【三】【宮】【聖】【石】
[041703]03 辯＝辨【聖】
[041704]04 性＝姓【三】【宮】【石】
[041705]05 必＝畢【石】
[041706]06 善＋（根）【三】【宮】
[041707]07 （清）＋淨【石】
[041708]08 （圓）＋滿【元】【明】
[041709]09 為＝名【石】
[041710]10 忍＝人【聖】【石】
[041711]11 〔是名〕－【三】【宮】
[041712]12 （論）＋者【明】，者＝釋【石】
[041713]13 一＝必【宋】【宮】【聖】
[041714]14 〔利根〕－【石】
[041715]15 （自）＋相【元】【明】
[041716]16 上以說三＝已上說【三】，以上說【宮】【聖】
[041717]17 〔眾〕－【三】【宮】【聖】【石】
[041718]18 〔性〕－【三】【宮】【聖】
[041719]19 〔則〕－【三】【宮】
[041720]20 國＋（土）【石】
[041721]21 今＝令【三】【宮】＊
[041722]22 〔如〕－【聖】
[041723]23 法忍＝忍法【三】【宮】【聖】
[041724]24 〔名〕－【三】【宮】
[041725]25 說諸＝諸說【宋】【宮】
[041726]26 是＝者【宋】【宮】
[041727]27 即＝則【宋】【宮】
[041728]28 阿＝何【宋】【宮】
<041701>＊ 今＝令【三】【宮】
[041729]29 先於＝於先【三】【宮】
[041801]01 〔伏〕－【三】【宮】【聖】
[041802]02 以＝已【宋】【宮】
[041803]03 知＝如【三】【宮】
[041804]04 〔二劫乃至〕－【宋】【宮】【聖】
[041805]05 差＝瘥【三】【宮】
[041806]06 還＝眾【宋】【宮】
[041807]07 （聖）＋王【三】【宮】
[041808]08 雨＝丙【聖】
[041809]09 法＝出【聖】
[041810]10 （此）＋彼【石】
[041811]11 作＝住【聖】
[041812]12 今＝念【三】【宮】
[041813]13 所應＝應所【宋】【宮】【聖】
[041814]14 或＝有【石】
[041815]15 智＋（慧）【石】
[041816]16 故＋（願智故）【石】
[041901]01 下＋（故）【聖】
[041902]02 俟待＝使侍【聖】
[041903]03 某＝其【聖】【石】
[041904]04 〔生〕－【石】
[041905]05 〔利〕－【石】
[041906]06 生＋（成就）【元】【明】
[041907]07 憍＝[馬*高]【聖】
[041908]08 （牟）＋尼【石】
[041909]09 得＝是【石】
[041910]10 姓＝性【元】【明】
[041911]11 毘＝鞞【三】【宮】
[041912]12 共＝具【宋】【宮】
[041913]13 婇＝綵【聖】
[041914]14 狀＝然【聖】
[041915]15 〔王〕－【三】【宮】【聖】
[041916]16 捧＝奉【石】
[041917]17 〔葉〕－【聖】
[041918]18 〔他〕－【三】【宮】【聖】【石】
[041919]19 （諸）＋菩薩【三】【宮】
[041920]20 其＝某【石】
[041921]21 〔大智度論〕－【明】，（（大智…一））十二字＝（（釋第二十品））五字【聖】，（（摩訶般若波羅蜜品第二十出到品））十四字【石】
[041922]22 一＋（品）【宮】
<041901>＊ 〔經〕－【宋】【宮】【聖】
[041923]23 〔乘〕－【石】
[041924]24 〔人〕－【聖】
[041925]25 無＋（上）【聖】
[042001]01 波＝婆【聖】，〔波〕－【石】
[042002]02 波羅蜜＋（相）【元】【明】
[042003]03 〔出〕－【聖】
[042004]04 四念處＋（性）【三】【宮】
[042005]05 分＋（性）【三】【宮】
[042006]06 阿羅漢＋（性）【三】【宮】
[042007]07 佛＋（性）【三】【宮】＊
<042001>＊ 佛＋（性）【三】【宮】
[042008]08 〔道〕－【石】
[042009]09 性＝無作【三】【宮】【聖】【石】
[042010]10 〔至〕－【三】【宮】【聖】
[042011]11 〔法〕－【三】【宮】
[042012]12 〔論〕－【宋】【宮】【聖】＊
[042013]13 〔異時〕－【三】【宮】【聖】
[042014]14 〔斷〕－【聖】
[042015]15 〔法〕－【宋】【宮】
[042016]16 （此）＋五眾【石】
[042101]01 〔俗〕－【三】【宮】【石】
[042102]02 〔出〕－【聖】【石】
<042101>＊ 〔經〕－【宋】【宮】【聖】
[042103]03 起＝相【三】【宮】【聖】
[042104]04 性＝煩【聖】
[042105]05 〔乃至無作相〕－【三】【宮】【聖】【石】
[042106]06 相＝法【元】【石】
[042107]07 作＝住【聖】＊
<042102>＊ 作＝住【聖】
[042108]08 住處＝所住【宋】【宮】【聖】－所住處【元】【明】
[042109]09 法＝故【石】
<042103>＊ 〔論〕－【宋】【宮】【聖】
[042110]10 此＝是【石】
[042111]11 有＝自【宋】【宮】
[042112]12 法＝相【石】
<042104>＊ 〔經〕－【宋】【宮】【聖】
[042113]13 〔及〕－【宋】【宮】【聖】
[042114]14 知＝智【石】
[042115]15 眾＝陰【石】
[042116]16 得＋（須陀洹不可得）【石】
[042117]17 〔欲〕－【宋】【宮】【聖】
[042118]18 （論）＋者【元】【明】，者＝釋【石】
[042119]19 〔者〕－【三】【宮】【聖】
[042201]01 〔益〕－【宋】【宮】
[042202]02 ◎不分卷【石】
[042203]03 〔大智…品〕十八字－【石】
[042204]04 （經）＋論【聖】
[042205]05 〔釋第…品〕十字－【三】【宮】
[042206]06 ◎不分卷【石】，（（大智度論…一））十六字＝（（大智度論釋卷第五十一釋第二十二品勝出品））十九字【宮】，（（大智度經論卷第五十一釋第二十一品訖第二十二品））二十二字【聖】，（（摩訶般若波羅蜜品二十一勝出品））十四字【石】
[042207]07 聖者龍樹造＝龍樹菩薩造【三】【宮】＊，〔聖者龍樹造〕－【聖】【石】＊
[042208]08 後秦龜茲國三藏＝姚秦三藏法師【三】【宮】，〔後秦龜茲國三藏鳩摩羅什譯〕－【聖】【石】＊
[042209]09 〔經〕－【宋】【宮】【聖】＊
[042210]10 摩訶衍＝摩訶術【聖】下同
[042211]11 勝出＝出勝【石】下同
[042212]12 〔與〕－【三】【宮】【聖】
[042213]13 （是）＋菩薩【三】【宮】
[042214]14 〔所謂〕－【三】【宮】【聖】
[042215]15 眼＋（觸）【石】
[042216]16 勝出＝出勝【聖】【石】
[042217]17 （是）＋以【聖】
[042218]18 無法非法＝非法無法【宋】【宮】【聖】＊
<042201>＊ 無法非法＝非法無法【宋】【宮】【聖】
<042301>＊ 無法非法＝非法無法【宋】【宮】【聖】
[042301]01 （若）＋須【聖】【石】
[042302]02 是＝者【聖】
[042303]03 〔是〕－【三】【宮】【聖】【石】
[042304]04 道場＋（於其中間）【元】【明】
[042305]05 智＝知【聖】
[042306]06 照＝嚴【聖】
[042307]07 〔界〕－【聖】
[042308]08 轉＝輪【聖】＊
[042309]09 〔所〕－【三】【宮】【聖】【石】
<042302>＊ 轉＝輪【聖】
[042310]10 非無＝無非【宮】
[042311]11 （能令）＋眾生【元】【明】
[042312]12 （論）＋者【元】【明】【石】
[042313]13 免＝勉【石】＊
[042314]14 全＝令【聖】
[042315]15 總＝惱【聖】＊
<042303>＊ 總＝惱【聖】
<042304>＊ 免＝勉【石】
[042316]16 將欲＝欲將【三】【宮】【石】，欲持【聖】
[042317]17 略＝毘【聖】【石】
[042401]01 磨＝摩【三】【宮】
[042402]02 不＋（可）【元】【明】
<042401>＊ 總＝惱【聖】
[042403]03 相＝想【聖】
[042404]04 寶＝實【聖】
[042405]05 〔欲〕－【三】【宮】【石】
[042406]06 善道＝道善【聖】
[042407]07 ◎大智度經論卷第五十二終【石】但此下有釋廿一品竟五字
[042408]08 ◎大智度經論卷第五十三首【石】，〔大智度論〕－【明】【聖】
[042409]09 含受品＝等空品【宮】，〔含受品〕－【聖】
[042410]10 二十三＝二十三品【宮】，二十二【聖】【石】
<042402>＊ 〔經〕－【宋】【宮】【聖】
[042411]11 〔摩訶〕－【三】【宮】【聖】
[042412]12 〔如〕－【聖】
[042413]13 （亦）＋如【聖】
[042414]14 知＝覺【聖】【石】
[042415]15 知＝覺【宮】【聖】【石】
[042416]16 識＝證【聖】
[042417]17 〔無〕－【三】【宮】
[042418]18 姓＝性【三】【宮】【聖】【石】
[042419]19 （人）＋地【宮】【聖】【石】
[042420]20 辨＝作【聖】【石】
[042421]21 至＋（無）【元】【明】
[042422]22 〔無〕－【宋】【宮】
[042423]23 樂＝苦【宋】【宮】
[042501]01 苦＝樂【宋】【宮】
[042502]02 （論）＋論【元】【明】
[042503]03 〔者言〕－【石】
<042501>＊ 〔經〕－【宋】【宮】【聖】
[042504]04 〔所〕－【三】【宮】【聖】【石】＊
<042502>＊ 〔所〕－【三】【宮】【聖】【石】
<042503>＊ 〔所〕－【三】【宮】【聖】【石】
<042504>＊ 〔所〕－【三】【宮】【聖】【石】
[042601]01 （是）＋摩【三】【宮】【聖】【石】＊
[042602]02 性地＝法性【宮】，性法【聖】【石】
<042601>＊ （是）＋摩【三】【宮】【聖】【石】
[042603]03 〔論〕－【宋】【聖】
[042604]04 受＝愛【聖】
[042605]05 故＝性【三】
[042606]06 故又＝復次【聖】
[042607]07 〔有〕－【三】【宮】
[042608]08 〔若〕－【宮】【聖】【石】
[042609]09 〔若〕－【聖】
[042610]10 已＝以【三】【宮】
[042611]11 （虛）＋誑【聖】
[042612]12 〔虛〕－【聖】
[042613]13 〔亦〕－【聖】
[042701]01 〔阿〕－【聖】
[042702]02 〔無量…無〕十七字－【聖】
[042703]03 祇＝呿【聖】
[042704]04 秦言二字石山本作夾註
[042705]05 （空）＋十方【石】
[042706]06 〔繫〕－【三】【宮】【聖】【石】
[042707]07 數事數事＝數數事事【元】【明】【聖】【石】
[042708]08 〔無邊〕－【聖】【石】
[042709]09 量＝無【聖】
[042710]10 竟＝意【聖】
[042711]11 〔無〕－【三】【宮】【聖】
[042712]12 〔說〕－【三】【宮】【聖】【石】
<042701>＊ 〔經〕－【宋】【宮】【聖】
[042713]13 〔色如無所…色〕三十五字－【聖】
[042714]14 （無）＋法【石】
[042715]15 〔如〕－【石】
[042716]16 如性＝性如【三】【宮】，〔如〕－【石】
[042717]17 〔阿耨…提〕九字－【三】【宮】
[042718]18 〔法〕－【聖】＊
<042702>＊ 〔法〕－【聖】
[042719]19 〔是〕－【聖】
[042720]20 （論）＋論【元】【明】
[042721]21 〔者言〕－【石】＊
