#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01  中論卷第一＝中論序【三】
[050805]05  一切施 sarva-daana
[050806]06  法施 dharma-daana
[050807]07  財施 aami.sa-
[050808]08  無畏施 abhaya-
[050901]01  慧＝惠【宮】
[050902]02  施障 daana-vivandha
[050903]03  能對治智 pratipak.sa-j~naana
[050904]04  〔慧〕【三】【宮】
[050905]05  難行施 duskara-daana
[050906]06  愛＝受【三】【宮】
[050907]07  一切門施 sarvato mukha^m daanam
[050908]08  善士施 sat-purusa-daana
[050909]09  一切種施 Sarvaakaara.m daana^m
[050910]10  一切種施十三相；無依施 ani`srita-daana，廣施 vi.sada-(?)，歡喜施 pramudita-，數數施 abhiik.sna-，田器施 asaahu-(?)，非田施 paatra-(?)，一切物施 Sarva-，一切處施 Sarvatra-，一切時施 Sarva- aala-，無罪施 anavadya-，有情施 Sarvavastu-，方土物施 Se`savasty-，財穀物施 dhana-dhaanyavastu-，
[050911]11  遂求施 vighaat-arthika^m daanam(?)
[051001]01  此世他世樂施 ihaamutra-sukha^m daanam
[051002]02  〔此〕－【三】【宮】
[051003]03  清淨施 vi`suddha^mdaanam
[051004]04  清淨施十相；不留滯施 asakta-daana，不執取施 paraam.r.s.ta-，不積聚施 asambh.rta-，不高舉施 nunnata-，無所依施 anr`srit-，不退弱施 aliina-，不下劣施 adiina-，不向背施 av-imukha-，不望報恩施 pratiikaaranapek.sa-，不希異熟 vipaakarapek.sa-，
[051005]05  不＝無【三】【宮】
[051006]06  〔世〕－【元】【明】
[051007]07  令＝今【元】
[051008]08  畜＝蓄【三】【宮】
[051009]09  嚮＝響【三】【宮】
<051001>＊  三藏法師＝沙門【宋】【元】【聖】【知】，唐三藏沙門【明】
[051010]10  〔第十五〕－【明】
[051011]11  戒品 `siila-patala
[051101]01  勝＝義【聖】
[051102]02  在家分 g.rhi-pak.sa
[051103]03  出家分 pravrajita-pak.sa
[051104]04  律儀戒 samvara-`siila
[051105]05  攝善法戒 ku`sala-dharma-sa.mgraahaka
[051106]06  饒益有情戒 Sattvaartha-kriyaa-
[051107]07  七眾；苾芻 bhik.su 苾芻尼 bhik.su.nii，正學 `Sik.samaa.naa，勤策男 `Sraama.nera，勤策女 `sraama.nerii，近事男 up-aasaka，近事女 kupaasikaa
[051108]08  〔男〕－【三】【宮】【聖】
[051109]09  覺悟＝悎寤【三】【宮】【聖】
[051110]10  苦＝若【元】
[051111]11  那落伽 naraka
[051112]12  （轉）＋輪【三】【宮】
[051113]13  位＝欲【三】【宮】【聖】
[051114]14  尸羅律儀 `Siila-samvara
[051115]15  論＝語【元】【明】
[051201]01  不放逸行 apramaada
[051202]02  〔行〕－【宮】
[051203]03  漸次 upani.sadaa
[051204]04  想＝相【三】【宮】
[051205]05  惠＝慧【宋】【元】【宮】
[051206]06  纏＝惑【聖】
[051207]07  稱應＝應稱【宮】【聖】
[051301]01  祥＝詳【三】【宮】
[051302]02  筵＝延【三】【宮】
[051303]03  助＝財【宮】
[051304]04  于＝乎【三】【宮】
[051305]05  具＝糧【三】【宮】
[051306]06  生＝失【三】【宮】
[051307]07  施＝與【三】【宮】
[051308]08  化＝先【元】【明】
[051309]09  若＝苦【元】
[051310]10  爾＝此【三】【宮】
[051311]11  嗤＝蚩【聖】
[051312]12  其＝他【三】【宮】【聖】
[051313]13  應他＝他應【三】【宮】
[051314]14  沖＝沖【三】【宮】【聖】
[051315]15  諭＝喻【三】【宮】【聖】
[051401]01  熱＝獨【三】【宮】【聖】
[051402]02  德＝能【三】【宮】
[051403]03  有＝於【三】【宮】【聖】
[051501]01  唯＝雖【三】【宮】【聖】
[051502]02  弊＝蔽【三】【宮】【聖】
[051503]03  睡＋（眼）【宋】，（眠）【元】【明】
[051504]04  倚＝倍【宋】
[051505]05  樂＝具【聖】
[051506]06  下＝不【明】
[051507]07  搆＝[(穀-禾)/牛]【三】【宮】
[051508]08  闇＝間【元】
[051509]09  〔及菩薩藏〕－【三】【宮】
[051510]10  以＝有【元】
[051511]11  免＝遠【聖】
[051512]12  唯＝惟【三】【宮】
[051513]13  惠＝慧【聖】
[051514]14  更＝便【宋】【宮】
[051515]15  覺悟＝悎寤【三】【宮】【聖】
[051516]16  此下聖本有光明皇后願文
[051601]01  三藏法師＝沙門【宋】【元】【宮】【知】＊，唐三藏沙門【明】＊
[051602]02  嬾＝懶【明】
[051603]03  惰＝墮【宋】【元】【宮】＊
[051604]04  憍慢＝慢憍【聖】
<051601>＊  惰＝墮【宋】【元】【宮】
<051602>＊  惰＝墮【宋】【元】【宮】
[051605]05  責＝嘖【三】【宮】
<051603>＊  惰＝墮【宋】【元】【宮】
<051604>＊  惰＝墮【宋】【元】【宮】
[051701]01  因＝困【明】
[051702]02  耶＝邪【聖】
[051703]03  取＝聚【聖】
<051701>＊  惰＝墮【宋】【元】【宮】
[051704]04  墮那落伽＝當隨地獄【宮】【聖】
[051705]05  僧伽物 saa^mghika
[051706]06  窣堵波物 staupika
[051707]07  眾主 vaiyap.rtya-kara
[051708]08  園林主 aaraanika
[051709]09  母邑＝女色【三】【宮】
[051710]10  離間 mitra-bheda
[051801]01  慎＝順【聖】
[051802]02  菩＝善【三】【宮】
[051803]03  蔽＝弊【三】【宮】
[051804]04  辛楚加行 ka.duka-prayoga
[051805]05  猛利加行 tiik.s.na-
<051801>＊  惰＝墮【宋】【元】【宮】
<051802>＊  惰＝墮【宋】【元】【宮】
[051806]06  睡眠＝眠睡【聖】
<051901>＊  惰＝墮【宋】【元】【宮】
[051901]01  貪欲蓋 kaama-cchanda
[051902]02  聞＝聲【元】【明】
[051903]03  引義 artha-upasa.mkita
[051904]04  引法 dhar.ma-upasa.mkita
[051905]05  染＝深【三】【宮】
<051902>＊  惰＝墮【宋】【元】【宮】
[051906]06  聞＝間【宮】
[051907]07  聞＝間【三】【宮】
<051903>＊  惰＝墮【宋】【元】【宮】
[051908]08  疹疾＝疾病【三】【宮】
<051904>＊  惰＝墮【宋】【元】【宮】
<052001>＊  惰＝墮【宋】【元】【宮】
[052001]01  悷＝戾【宋】【宮】
<052002>＊  惰＝墮【宋】【元】【宮】
<052003>＊  惰＝墮【宋】【元】【宮】
<052004>＊  惰＝墮【宋】【元】【宮】
<052005>＊  惰＝墮【宋】【元】【宮】
<052006>＊  惰＝墮【宋】【元】【宮】
<052007>＊  惰＝墮【宋】【元】【宮】
[052002]02  擯＝儐【宋】【宮】
[052101]01  呾＝怛【三】【宮】
[052102]02  履＝理【元】【明】
[052103]03  未＝末【元】
[052104]04  此下聖本有光明皇后願文
<052101>＊  三藏法師＝沙門【宋】【元】【宮】【知】，唐三藏沙門【明】
[052105]05  〔第十五〕－【明】＊
[052201]01  少缺＝缺漏【聖】
[052202]02  性＝姓【宋】【元】【宮】
[052203]03  住＝任【宋】【宮】
[052204]04  止息戒 niv.rtti-`siila
[052205]05  轉作戒 prav.rtti-
[052206]06  防護戒 aarak.saka-
[052207]07  大士相異熟戒 ma-haapru.sa-lak.sa.na-vaipaakya-
[052208]08  增上心異熟戒 adhicitta-vaipaakya-
[052209]09  可愛趣異熟戒 i.s.tagati-vaipaakya
[052210]10  利有情異熟戒 sattavaartha-kriyaa-vaipaakya
[052211]11  修習＝習脩【聖】
[052212]12  五種勝利 pa~ncaanusa.m`saa(-`sa.msaa)
[052301]01  〔成〕－【三】【宮】【聖】
[052302]02  （瑜伽師地論）＋本【宋】【元】【宮】＊
<052301>＊  〔第十五〕－【明】
[052303]03  [打-丁+它]＝柁【三】【宮】＊
[052304]04  九種忍，自性忍 svabhaava-k.saanti，一切忍 sarva-k.saanti，難行忍 du.skara-，一切門忍 sarvatas-，善士忍 satpuru.sa-，一切種忍 sarvaprakara-，遂求忍 vighaata-arthaka-，此世彼世樂忍 ihaamutra-sukha-，清淨心 vi`suddha-
[052305]05  能＝悉【三】【宮】
[052306]06  苦＝害【三】
[052307]07  處＝緣【聖】
[052308]08  生＝性【三】【宮】【聖】
[052309]09  切＝心【聖】
[052401]01  殉＝徇【元】【明】
[052402]02  劬＝勞【三】【宮】【聖】
[052403]03  什＝十【三】【宮】
[052404]04  伎＝妓【元】【明】，優【聖】
[052405]05  懈＝解【宋】【元】
[052406]06  估＝賈【明】
[052501]01  姓＝性【明】
[052502]02  晝＝盡【元】【明】【宮】＊
<052501>＊  晝＝盡【元】【明】【宮】
<052502>＊  晝＝盡【元】【明】【宮】
[052503]03  惡＝要【三】【宮】
[052504]04  蠍＝蝎【三】【宮】
<052503>＊  （瑜伽師地論）＋本【宋】【元】【宮】
<052504>＊  〔第十五〕－【明】
<052505>＊  [打-丁+它]＝柁【三】【宮】
[052505]05  擐甲精進 sannaaha-viirya
[052601]01  能＝所【三】【宮】【聖】
[052602]02  達＝速【三】【宮】【聖】
[052603]03  進＋（故）【聖】
[052604]04  〔故〕－【聖】
[052605]05  勝進精進 vai`se.sika-
[052606]06  如滅頭然 aadiipta-`siro-nirvapa.nopama
[052607]07  勤求精進 e.saka-
[052701]01  串習加行 abhyasta-prayoga
[052702]02  積習加行 paricita-prayoga
[052703]03  〔名〕－【聖】
[052704]04  夜＝長【宮】
[052705]05  覺＝悎【三】【宮】【聖】
[052706]06  此下聖本有光明皇后願文
<052701>＊  三藏法師＝沙門【宋】【元】【宮】【知】，唐三藏沙門【明】
[052707]07  地第＝第地【宋】
[052708]08  〔第十五〕－【明】＊，〔第〕－【宮】
[052709]09  [打-丁+它]＝柁【元】【明】＊
[052710]10  藏聞思為先 pi.taka-`srava.na-cintaapuurvaka
[052711]11  力＝方【宮】
[052712]12  姓＝性【明】＊
[052713]13  於＝其【三】【宮】【聖】
[052801]01  捨俱行靜慮 upek.sa-sahagataa-sahagata-dhgaana
<052801>＊  〔第十五〕－【明】
<052802>＊  [打-丁+它]＝柁【元】【明】
[052802]02  悟入一切所知 sarva-j~neya-prave`sa
[052803]03  簡擇諸法 dharma-pravicaya，簡＝揀【明】
[052804]04  工業明處 `silpa-karma-stmya-sthaana-vidyaa
[052805]05  世間慧 laukikii-praj~na
[052806]06  出世間慧 lokottaraa-praj~na
[052807]07  三聚 tri-raa`si
[052808]08  離言說法無我性 anabhilaapya-dharma-nairaatmya
[052809]09  悟＝寤【三】【宮】【聖】
[052810]10  諸戲論 sarva-prapa~nca
[052811]11  遠離增益損減二邊 samaaropa-apavaada-antadvaya-vivar-jitatva
[052812]12  順入中道 madhya-pratipad-anusaarin
[052813]13  性＝姓【宋】【元】【宮】【聖】
[052814]14  三聚；能引義利法聚 arthopass.mhita-dharma-ra`si，能引非義利法聚 anarthopasa.mhita-，能引非義利非非義利法聚 naivaarthopasa.mhita-naanaarthopasa.mhita-
[052901]01  法＋（位）【聖】
[052902]02  立＝住【宮】
[052903]03  聞＝開【三】【宮】【聖】
[052904]04  盡智無生智 k.saya-j~naana anutpaada-
[052905]05  類智 anvaya-j~naana
[052906]06  世俗智 sa.mv.rtti-
[052907]07  十力前行智 da`sa-bala-puurva^ngama-
[052908]08  遂求智 vighaata-arthaka-j~naana
[052909]09  法無礙慧 dharma-pratisa.mvid
[052910]10  義無礙慧 artha-
[052911]11  詞＝辭【明】
[052912]12  釋詞無礙慧 nurukti-
[052913]13  辯才無礙慧 prati bhaana-
[052914]14  一切摧伏他論慧 sarva-paraprava dinigraha-
[052915]15  一切成立自論慧 sarva-svavaada-vyavasthaana-prati.s.thaapapana-
[052916]16  一切正訓營為家屬家產慧 g.rhiitantra-samyak-pra.nayana-kulodaya-
[052917]17  一切善解種種王正世務慧 raajaniiti-laukika-vyavahaaraniiti-vipa`scita
[052918]18  大白法溟 mahaa`s-ukla-dharmaar.nava
<052901>＊  〔第十五〕－【明】
<052902>＊  [打-丁+它]＝柁【元】【明】
[052919]19  一切愛語 sarva-priyavaaditaa
[052920]20  顰＝頻【宋】【元】【宮】【聖】
[053001]01  [者*見]＝都【聖】
[053002]02  諸＝諫【聖】
[053003]03  清淨愛語 vi`suddhaa priyavaaditaa
[053004]04  性＝姓【宋】【元】【宮】
[053005]05  熟＝就【聖】
[053006]06  現法利勸導 d.r.s.tadharma-arthasamaapanaa
[053007]07  後法利勸導 saa.mparaayika-arthasamaapanaa
[053101]01  由＝中【元】
[053102]02  難行利行 du.skaraa arthacaryaa
[053103]03  執＝耽【三】【宮】【聖】
[053104]04  一切門利行 sarvato-mukhii-arthacaryaa
<053101>＊  姓＝性【明】
[053105]05  惛＝怋【聖】
[053106]06  劣＝幼【宮】，幻【聖】
<053102>＊  姓＝性【明】
[053201]01  旃＝栴【宋】
[053202]02  旃＝[旃-方+示]【宋】【宮】＊
[053203]03  茶＝荼【三】【宮】【聖】＊
[053204]04  狗＝苟【宋】【元】【宮】【聖】＊
<053201>＊  旃＝[旃-方+示]【宋】【宮】
<053202>＊  茶＝荼【三】【宮】【聖】
<053203>＊  狗＝苟【宋】【元】【宮】【聖】
[053205]05  熟＝就【三】【宮】
[053206]06  真＝貞【宋】【元】【宮】【聖】
[053207]07  事＝利【三】【宮】【聖】
[053301]01  此下聖本有光明皇后願文
<053301>＊  三藏法師＝沙門【宋】【元】【宮】【知】，唐三藏沙門【明】
[053302]02  〔第十五〕－【明】＊
[053303]03  供養親近無量品 Puujaa`sevaa pramaa.na-pa.talam
[053304]04  [打-丁+它]＝柁【三】【宮】【聖】【知】
[053305]05  （若）＋新【三】【宮】
[053306]06  供養前＝供養前現【知】
[053307]07  朋友＝友朋【聖】【知】
[053308]08  惰＝墮【宋】【元】【宮】＊
[053309]09  朋友＝友朋【三】【宮】【聖】【知】
[053310]10  匱＝遣【知】
[053401]01  [彖/虫]＝螺【三】【宮】
[053402]02  車[(王*巨)/木]馬[瑙-王+石]虎＝磲礓碼[瑙-王+石]琥【明】
[053403]03  [瑙-王+石]＝瑙【宋】【元】【宮】
[053404]04  魄＝珀【三】【宮】
[053405]05  淳＝純【明】
<053401>＊  惰＝墮【宋】【元】【宮】
[053406]06  慢＝漫【三】【宮】【聖】【知】
[053407]07  酥＝蘇【宋】【宮】【聖】【知】
[053408]08  〔臂〕－【三】
[053409]09  及＝以【元】【明】
[053410]10  周＝週【明】
[053411]11  相＝想【知】
[053501]01  路＝語【元】【明】
[053502]02  詞＝辭【明】＊
<053501>＊  詞＝辭【明】
[053503]03  妙＝如【元】
[053504]04  性＝姓【宋】【元】【宮】【知】
[053505]05  簡＝揀【元】【明】
<053502>＊  詞＝辭【明】
[053506]06  說＝法【三】【宮】【聖】
[053601]01  若＝苦【三】
[053602]02  纏緣 paryavasthaana
[053603]03  繫＝慚【知】
[053604]04  衰損 vipatti
[053605]05  資具匱乏 pari.skaara-vaikalpa
[053606]06  一切種苦 sarvaakaara-du.hkha
[053607]07  所＝得【三】【宮】【聖】
[053608]08  不定 aniyama
[053609]09  王＝主【明】
[053610]10  斫＝所【元】【明】
[053611]11  出離遠離寂靜菩提樂所對治家欲界結尋異生苦 naiskramya-pravivekopa`samasambhodhi-sukha-vipak.sa-aagarika-kaamadhaatu-sa.myogaja-vitarka-p.rthagjana-du.hkha
[053612]12  十九種苦，愚癡異熟苦 sammoha-vipaaka，行苦所攝苦 sa.mskaara-du.hkha-g.rhiita，畢竟苦 atyantika，因苦 hetu，生苦 jaati，自作逼惱苦 svaya.mp.rtopak-ramika，戒衰損苦 `siila-vipatti，見衰損若 d.rs.ti-vipatti，宿因苦 puurva-hetuka，大苦 mahat，那落迦苦 naaraka，善趣所攝苦 sug-ati-sa.mg.rhii a，
            一切邪行所生苦 sarva-vipratipatti，一切流轉苦 sarva-prav.rtti，無智苦 aj~naana，增長苦 anpacayika，隨逐苦 aanu.sangika，受苦 vedayita，粗重苦 daus.thulya
[053701]01  落＝洛【三】【宮】
[053702]02  心相續 citta-santati
[053703]03  悲薰修心 karu.naa-paribhaavita-maanasa
[053704]04  菩提悲所建立 karu.naa-prati.s.taa-bodhi
[053705]05  現法樂住 drs.ta-dharma-sukhaa-vihaara
[053706]06  無量最勝福德資糧 apramaa.na-pu.nya-sambhaara
<053701>＊  〔第十五〕－【明】
[053707]07  [打-丁+它]＝柁【三】【宮】＊
[053708]08  止＝正【元】【明】
<053702>＊  [打-丁+它]＝柁【三】【宮】
[053709]09  自性 svabhaava
[053710]10  依處 adhis.thaana
[053711]11  堅力持性  dhrti-balaadhaarataa
[053712]12  苦＝若【元】
[053713]13  心無厭倦性 aparikhinna-maanasataa
[053714]14  善知諸論 `saastraj~naataa
[053715]15  善知世間 lokaj~nataa
[053801]01  齋＝齊【聖】【知】
[053802]02  乃＝及【元】【明】
[053803]03  少＝劣【三】【宮】
[053804]04  顰＝頻【宋】【元】【宮】【聖】【知】
[053805]05  （輕）＋蔑【聖】
[053806]06  捐＝捨【知】
[053807]07  正＝止【三】【宮】
[053808]08  絡＝終【三】【宮】
[053809]09  寶＝實【聖】
[053810]10  寶＝實【三】【聖】
[053811]11  毫＝豪【聖】【知】
[053812]12  捷＝速【三】【宮】【聖】【知】
[053813]13  〔如〕－【元】【明】
[053814]14  此下聖本有光明皇后願文
[053815]15  四＋（寶龜十一年歲次庚申四月廿五日願主大宅月足秦子夜目刀自右）【知】
<053901>＊  三藏法師＝沙門【宋】【元】【宮】【知】，唐三藏沙門【明】
[053901]01  〔第十五〕－【明】
[053902]02  四依 catus-pratisarana
[053903]03  詞＝辭【明】＊
[053904]04  闇＝聞【三】
[053905]05  真＝具【宮】
[053906]06  真＝貞【宋】【元】【宮】
[053907]07  四無礙解 catusprasa.mvid
<053902>＊  詞＝辭【明】
<053903>＊  詞＝辭【明】
[053908]08  菩提資糧 bodhi-sambhara
[053909]09  相＝想【三】【宮】
[054001]01  止觀 `samatha-vipa`syanaa
[054002]02  方便善巧 upaaya-kau`salya
[054003]03  一＝二【元】【明】
[054004]04  齋＝齊【聖】＊
<054001>＊  齋＝齊【聖】
<054002>＊  齋＝齊【聖】
<054003>＊  齋＝齊【聖】
[054005]05  吠地迦咒 vaidika-mantra
[054006]06  情＝性【聖】
[054007]07  （隨）＋於【三】【宮】
[054101]01  如＝知【三】【聖】
[054102]02  域＝役【宋】，城【元】【明】【宮】
[054103]03  令＝爾【三】
[054201]01  主＝正【元】
[054202]02  正＝止【元】
[054203]03  多少＝少多【三】【宮】
[054204]04  厄＝危【聖】
[054205]05  今＝令【三】【宮】【聖】
[054301]01  胝毘間宋元明宮聖五本連續而毘下間空
[054302]02  里＝理【三】【宮】【聖】
[054303]03  姤＝妒【三】【宮】【聖】
[054304]04  正＝大【元】【明】
[054305]05  願於＝於願【聖】
[054306]06  〔三〕－【聖】
[054307]07  此下聖本有光明皇后願文
<054401>＊  三藏法師＝沙門【宋】【元】【宮】【知】，唐三藏沙門【明】
[054401]01  〔第十五〕－【明】＊
[054402]02  [打-丁+它]＝柁【三】【宮】
[054403]03  猶＝由【三】【宮】
[054404]04  老＝若【明】
[054405]05  體＝能【元】
[054501]01  爾＝今【聖】
<054501>＊  〔第十五〕－【明】
[054502]02  復＝伏【三】【宮】
[054503]03  故＝名【三】【宮】
[054601]01  有＝行【元】
[054602]02  生＝行【三】【宮】
[054603]03  詞＝辭【明】
[054604]04  相＝根【元】【明】
[054701]01  性＝姓【聖】＊
[054702]02  位＝住【三】＊【宮】【聖】
<054701>＊  位＝住【三】
[054703]03  授＝受【宋】【元】【宮】
<054702>＊  性＝姓【聖】
<054703>＊  性＝姓【聖】
[054704]04  任＝住【元】＊
[054705]05  三＝二【元】
<054704>＊  性＝姓【聖】
<054705>＊  性＝姓【聖】
[054706]06  呾＝怛【元】【明】
[054801]01  知＝智【三】【宮】＊
<054801>＊  知＝智【三】【宮】
<054802>＊  知＝智【三】【宮】
<054803>＊  知＝智【三】【宮】
<054804>＊  知＝智【三】【宮】
<054805>＊  知＝智【三】【宮】
[054802]02  明注曰戍北藏作成
<054806>＊  性＝姓【聖】
<054807>＊  性＝姓【聖】
<054808>＊  性＝姓【聖】
<054809>＊  任＝住【元】
[054803]03  法忍＝決為【元】
[054804]04  意＝竟【元】
[054901]01  思＋（惟）【聖】
<054901>＊  性＝姓【聖】
[054902]02  真＝具【宮】
[054903]03  任＝住【元】【明】
[054904]04  芽＝牙【聖】
[054905]05  福＝神【元】
[054906]06  此下聖本有光明皇后願文
<054902>＊  三藏法師＝沙門【宋】【元】【宮】【知】，唐三藏沙門【明】
[054907]07  〔第十五〕－【明】＊
[054908]08  [打-丁+它]＝柁【三】【宮】＊
[054909]09  連＝速【元】
[054910]10  欲＝慾【三】【宮】
[055001]01  此是＝是此【三】【宮】【聖】【知】
[055002]02  辨＝辯【三】【宮】
[055003]03  相＝想【三】【宮】【聖】【知】
[055004]04  詞＝辭【明】
[055005]05  杖＝仗【宋】【元】【宮】【聖】【知】
<055001>＊  〔第十五〕－【明】
<055002>＊  [打-丁+它]＝柁【三】【宮】
[055006]06  恩＝思【知】
[055101]01  性＝姓【宋】【元】【宮】【聖】【知】
[055102]02  利＝到【元】
<055101>＊  〔第十五〕－【明】
<055102>＊  [打-丁+它]＝柁【三】【宮】
[055201]01  固＝同【元】
<055201>＊  〔第十五〕－【明】
<055202>＊  [打-丁+它]＝柁【三】【宮】
[055202]02  〔之〕－【元】
[055203]03  性＝姓【宋】【元】【宮】＊
[055204]04  〔說〕－【宮】【知】
[055205]05  住 vihaara
<055301>＊  性＝姓【聖】
[055301]01  無相無功用 nirmitta-anaabhoga
[055302]02  性＝姓【宋】【元】【宮】【知】
[055303]03  種性＝種姓【宋】【元】【宮】【聖】【知】
[055304]04  令＝今【元】
[055305]05  任＝住【元】＊，明註曰任北藏作住
[055306]06  種＝姓【聖】
[055307]07  行＝從【知】
[055308]08  簡＝揀【元】【明】
[055309]09  無功用無相住 aanaabhoga-nirmitta-vihaara
[055310]10  釋＝擇【知】
[055311]11  有＝無【元】
[055312]12  無礙解住 pratisa.mvid-vihaara
<055401>＊  任＝住【元】
[055401]01  〔勝〕－【三】【宮】【聖】【知】
[055402]02  越＝起【知】
[055403]03  謂＝語【三】【宮】
[055404]04  忘＝妄【三】【宮】
[055405]05  時＝持【甲】
[055406]06  過＝越【甲】
[055407]07  過＝越【三】
[055408]08  薩＝提【三】
[055501]01  真＝臂【聖】【知】
[055502]02  定＝是【元】
[055503]03  攀＝舉【知】
[055504]04  正＝（等）【三】【宮】
[055505]05  遠＝違【三】【宮】【聖】【知】
[055506]06  不＝無【三】【宮】【聖】【知】
[055507]07  如＝知【聖】
[055508]08  惠＝喜【明】
[055509]09  侶＝旅【元】【明】
[055601]01  頃＝須【聖】
[055602]02  熟＝就【聖】
[055603]03  俱胝＝胝俱【宋】【宮】
[055604]04  此下聖本有光明皇后願文
<055601>＊  三藏法師＝沙門【宋】【元】【宮】【知】，唐三藏沙門【明】
[055605]05  〔第十五〕－【明】＊
[055606]06  性＝住【元】【明】
[055701]01  為有＝有為【聖】
[055702]02  勇＝踊【三】【宮】
[055703]03  踊＝勇【宋】【元】【宮】＊
<055701>＊  踊＝勇【宋】【元】【宮】
[055704]04  稱＝秤【三】【宮】
[055801]01  詞＝辭【明】
[055802]02  就＝熟【三】【宮】
[055803]03  略＝掠【三】【宮】
[055901]01  善＝義【元】【明】
[055902]02  悲＝慧【元】【明】【宮】
[056001]01  汙＝行【三】【宮】【聖】
[056101]01  義＝發【元】
[056102]02  〔加〕－【三】【宮】【聖】
[056103]03  法＝智【明】
[056104]04  勝＋（所作）【元】
[056105]05  〔所作〕－【元】
[056106]06  資＝貧【聖】
[056107]07  如＝知【三】【宮】
[056201]01  二＝三【三】【宮】【聖】
[056202]02  肉＝實【三】【宮】【聖】＊
<056201>＊  肉＝實【三】【宮】【聖】
[056203]03  種性＝種姓【宋】【元】【宮】【聖】
<056202>＊  〔第十五〕－【明】
[056204]04  生 utpatti
[056205]05  除災生 sa.m`samanii-utpatti
[056206]06  隨類生 sabhaaga-anu-vartinii-
[056207]07  大勢生 mahattva-
[056208]08  增上生 adhipatya-
[056209]09  最後生 varamaa-[pa`scima-]
[056301]01  疫＝役【聖】
[056302]02  正治＝以正【三】【宮】【聖】
[056303]03  深＝染【聖】
[056304]04  過＝逼【聖】
<056301>＊  〔第十五〕－【明】
[056305]05  持究竟瑜伽處 aadhaara-ni.s.thayoga-sthaana
[056306]06  有情無倒攝受 samyak-sa-ttva-parigraha
[056307]07  頓普攝受 sak.rt-sarvasattva-parigraha
[056308]08  增上攝受 adhipatya-
[056309]09  攝取攝受 upaadaana-
[056310]10  長時攝受 diirgha-kaalika-
[056311]11  短時攝受 adiirgha-kaalika-
[056312]12  最後攝受 varama-
[056313]13  尚＝當【元】
[056401]01  捲＝倦【甲】
[056402]02  顰＝頻【宋】【元】【聖】
[056403]03  美＝善【三】【宮】
[056404]04  身＝見【元】
[056405]05  令＝心【元】
[056406]06  簡＝揀【元】【明】
[056407]07  此下聖本有光明皇后願文
<056401>＊  三藏法師＝沙門【宋】【元】【宮】【知】，唐三藏沙門【明】
[056408]08  〔第十五〕－【明】＊
[056409]09  七地 sapta-bhuumi
[056410]10  前之六種…雜立為地 ekaa vyaami`sraatbodhisattvatathaagatii bhuumi
[056501]01  種性地 gotra-bhuumi，種性＝種姓【宋】【元】【宮】【聖】【知】
[056502]02  勝解行地 adhimukti-caryaa-
[056503]03  淨勝意樂地 `suddhaadhyaa`saya-
[056504]04  行正行地 caryaa-pratipatti-
[056505]05  決定地 niyataa-
[056506]06  決定行地 niyata-caryaa-
[056507]07  到究意地 ni.s.thaagamana-
[056508]08  雜地 vyaami`sraa-bhuumi
[056509]09  姓＝性【明】
[056510]10  謂＝諸【知】
<056501>＊  〔第十五〕－【明】
[056511]11  波羅蜜多行 paaramitaa-caryaa
[056512]12  菩提分法行 bodhi-pak.sa-
[056513]13  神通行 abhij~naa-
[056514]14  成熟有情行 sattva-paripaaka-
[056601]01  後＋（地）【三】【宮】
[056602]02  聰敏＝聰愍【宋】【元】【宮】，聽愍【知】
<056601>＊  〔第十五〕－【明】
[056603]03  建立 prati.s.thaapa
[056604]04  〔諸〕－【三】【宮】
[056605]05  踹＝[跳-兆+專]【宋】【宮】【聖】【知】，[月*耑]【元】【明】
[056606]06  靡＝分【三】【宮】【聖】【知】＊
[056607]07  髆＝髆【宋】【元】【宮】
[056608]08  直＝真【知】
[056609]09  詞＝辭【明】
[056701]01  毫＝豪【聖】【知】
[056702]02  爪＝分【聖】
[056703]03  並＝普【三】【宮】
[056704]04  臚＝[目*盧]【元】
[056705]05  臍＝齊【甲】
[056706]06  項＝頂【聖】
[056707]07  [月*咢]＝齶【元】【明】，●【知】
[056708]08  感＝咸【聖】
[056709]09  所＝中【元】【明】
[056710]10  呾＝怛【元】【明】，嗤【宮】
[056711]11  令＝全【知】
[056712]12  他＝訶【三】【宮】
[056713]13  支＝友【三】【宮】
[056714]14  止＝正【知】
[056801]01  詞＝訶【元】＊，辭【明】＊
[056802]02  〔譬〕－【三】【宮】
[056803]03  如父如＝猶如父【三】【宮】
[056804]04  膞＝膊【宋】【宮】，[骨*專]【元】【明】
[056805]05  洪＝供【知】
<056801>＊  靡＝分【三】【宮】【聖】【知】
<056802>＊  詞＝訶【元】，辭【明】
[056806]06  任＝住【三】【宮】
[056807]07  起＝超【元】
[056901]01  說＝記【三】【宮】
[056902]02  名為＝亦名【三】【宮】【聖】【知】
[056903]03  〔施設無上〕－【三】【宮】
[056904]04  〔得〕－【三】【宮】
